Lead_Id,Age,Phone_No,Annual_Income_Bucket,Credit_Score,Country,State,No_Of_Dependents,Highest_Education,Ethnicity,No_Of_Children,Household_Size,Gender,Marital_Status
0df6d237-2ee8-92c1-2e01-07c7b87e4ae1,Senior Citizen,9160050436,60k-120k,>700,US,UM,3,High School,white americans,1,4,Female,S
2cb531ca-f5ca-9df0-670b-86d493e83e4b,Young,9709779194,<60k,>700,US,MD,2,Attended Vocational,white americans,0,3,Female,S
d18b40dc-3906-9fc4-760c-374c00dce2b1,Middle Age,9551475993,60k-120k,<350,US,DE,0,Attended Vocational,white americans,0,1,Female,S
b446f30d-8481-964b-3eaf-5b36f2011f69,Middle Age,9232520843,<60k,>700,US,ND,0,Graduate School,white americans,0,1,Female,S
7ad214c5-fd78-5f93-f39a-6ab492938bed,Middle Age,9053349320,<60k,<350,US,ID,3,Attended Vocational,african american,1,2,Female,S
82bc75c4-ea6e-7d42-8952-b7dff5473c08,Middle Age,9907870432,<60k,350-700,US,MN,1,High School,african american,0,1,Female,S
76462029-3bd3-d7d8-d9b2-ab11f0ce7fe6,Senior Citizen,9457731014,>120k,<350,US,MD,0,Attended Vocational,Latino,0,1,Female,S
7092fd8e-2c0f-1d58-7922-3ee828b30944,Young,9457926247,<60k,350-700,US,CA,0,Attended Vocational,white americans,0,1,Female,S
0aec7680-b04f-d9e2-ee0b-fabfc6e11d2d,Young,9331743739,<60k,350-700,US,GA,1,High School,Hispanic,1,2,Female,S
57547d68-fb24-4192-707d-64828ea39520,Middle Age,9775777010,>120k,<350,US,GU,3,College,Latino,2,1,Female,S
5c7ac19d-b0fd-f000-1e53-48bc22ac85bc,Young,9578441669,60k-120k,350-700,US,RI,0,Attended Vocational,Hispanic,0,1,Female,S
0d59cb3e-30fa-8a78-0a47-50046c71b44a,Senior Citizen,9305302674,>120k,350-700,US,UM,2,High School,Hispanic,1,2,Female,S
c45b15ef-4f28-940c-94bc-576680374e35,Young,9585257440,>120k,<350,US,KS,3,College,white americans,1,3,Female,S
f4bdd56f-0089-de6e-076c-fc96051f6a35,Middle Age,9166775544,60k-120k,350-700,US,NV,2,Attended Vocational,african american,1,2,Female,S
5fc90153-380b-7d67-7b33-4ca8a132051a,Young,9153690788,>120k,350-700,US,MN,1,Graduate School,african american,0,2,Female,S
77a54619-37e7-7bba-f9a3-e886871b629c,Senior Citizen,9858407635,60k-120k,350-700,US,ND,3,High School,african american,0,1,Female,S
2573b2d6-7705-a791-faf9-b9fd39f1a966,Senior Citizen,9654241516,<60k,350-700,US,RI,1,Attended Vocational,white americans,0,1,Female,S
325dae98-d261-2a48-29a3-a8390199f3d2,Young,9379138805,>120k,350-700,US,AR,0,High School,Hispanic,0,1,Female,S
fd3da2e0-b0c7-ebd1-f8e1-34ea5bb8bd98,Middle Age,9953529382,<60k,350-700,US,KY,0,High School,Latino,0,1,Female,S
79a168bf-8ab9-9871-e47e-fa3586a374c4,Senior Citizen,9340362499,<60k,350-700,US,WI,1,College,white americans,0,1,Female,S
97bc86f1-05f1-2d90-a6a8-cf71cca0408d,Middle Age,9188238940,<60k,<350,US,ID,0,Graduate School,Hispanic,0,1,Female,S
b101cdd4-dedd-6dc7-b5ba-16df5fd3f0b7,Senior Citizen,9164670778,>120k,350-700,US,NY,3,Attended Vocational,Hispanic,2,2,Female,S
2eae2af2-7236-34bc-0c60-687a8bb45489,Middle Age,9154886759,<60k,350-700,US,ID,3,College,african american,1,3,Female,S
6543473e-a3bb-bbfe-6dcd-82f64a3d1577,Middle Age,9995581539,60k-120k,<350,US,AZ,3,Graduate School,african american,1,4,Female,S
c29675d7-be3d-1b6b-8271-777a77fb5920,Middle Age,9263366592,<60k,350-700,US,MA,1,Attended Vocational,Latino,1,1,Female,S
9461cd8c-8ab4-8d66-588b-1e7d6d009cd0,Young,9944376153,>120k,350-700,US,FL,0,High School,white americans,0,1,Female,S
c6d39c41-d5e8-bf5e-039a-5ca87980fb47,Middle Age,9688989865,60k-120k,>700,US,MN,0,High School,african american,0,1,Female,S
1107acb1-b94a-8251-c097-1ceb16db80ed,Middle Age,9960800095,>120k,350-700,US,MI,2,Graduate School,Hispanic,2,2,Female,S
e6d13c0e-3dc3-3f56-7250-2318f029d0e5,Middle Age,9682799452,60k-120k,>700,US,GU,3,Attended Vocational,Latino,1,2,Female,S
434cf661-fc7f-9724-fa6c-46353bc7eade,Senior Citizen,9625101332,60k-120k,>700,US,MS,3,Graduate School,african american,2,2,Female,S
c372e179-0c4e-27fd-dfb3-cf5033dc44da,Middle Age,9291156991,>120k,>700,US,GU,1,Attended Vocational,white americans,1,1,Female,S
36ef8006-07e2-4e2e-ef7d-07abe49b6b8c,Young,9775772145,60k-120k,<350,US,IA,3,High School,white americans,3,2,Female,S
06bc2a51-1f5e-bad6-6061-6d4e5030e12f,Middle Age,9424437132,<60k,>700,US,SC,2,High School,african american,1,2,Female,S
127cdbea-1540-c1e2-de33-fd67e4e3e462,Young,9093381327,60k-120k,350-700,US,RI,0,High School,Latino,0,1,Female,S
9a11f558-a690-d9f2-5ced-73d02366c1fa,Senior Citizen,9026374217,60k-120k,>700,US,AK,0,Attended Vocational,Hispanic,0,1,Female,S
83db6169-4387-36bb-b4f5-677abd07f753,Young,9492049073,60k-120k,<350,US,SC,2,College,white americans,2,2,Female,S
f5b051c9-32dd-cef2-1bf3-209332819219,Young,9549318346,60k-120k,<350,US,KY,1,Attended Vocational,african american,1,2,Female,S
a4683470-919d-0d46-485f-08c9d869e2f2,Middle Age,9395061702,60k-120k,>700,US,CO,1,College,Latino,0,1,Female,S
28b9d371-9a4d-7192-c61b-1fdaabd8b39f,Senior Citizen,9726588734,>120k,<350,US,CO,0,Attended Vocational,african american,0,1,Female,S
cbe8f3b5-6d57-e44c-5708-481d1e4864a3,Senior Citizen,9224705497,>120k,350-700,US,NV,2,High School,african american,0,3,Female,S
0e88820b-cb22-ac15-6331-f831d07ab834,Young,9074208989,>120k,>700,US,WV,0,College,white americans,0,1,Female,S
a04684f2-2632-dd60-91a7-1b79084d9be5,Senior Citizen,9505908786,>120k,350-700,US,MS,1,Attended Vocational,Latino,0,1,Female,S
5d0dd05a-7242-b125-f2ba-e07a84aee852,Young,9912645336,60k-120k,<350,US,AL,3,College,african american,1,4,Female,S
009533c5-2985-4099-24b1-404e66e829c2,Middle Age,9565223189,60k-120k,>700,US,PA,2,Attended Vocational,Hispanic,0,2,Female,S
6cb4674a-8343-b6ab-8234-bc5bfeb886a7,Young,9320585949,60k-120k,>700,US,HI,0,High School,white americans,0,1,Female,S
c3730622-dc70-89be-11aa-ffe2048b4d23,Middle Age,9317059819,60k-120k,350-700,US,MS,2,Graduate School,Hispanic,1,1,Female,S
fd75be20-3dc6-5a83-c036-4fa9c8880dba,Young,9694317312,60k-120k,350-700,US,CO,2,Graduate School,white americans,1,2,Female,S
d4928072-ce7b-bbe0-2d9e-900fc81a32de,Middle Age,9023589436,<60k,>700,US,NH,1,Graduate School,white americans,0,1,Female,S
761a929c-21ff-e95e-91e4-ab05c8ad8074,Young,9470213951,60k-120k,<350,US,IA,0,Graduate School,Latino,0,1,Female,S
